[2018-02-01 09:37:26] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='newnum' LIMIT 1 [] []
[2018-02-01 09:37:29] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:37:29] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-02-01 09:37:29] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-02-01 09:37:29] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-02-01 09:37:29] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:37:29] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='newnum' LIMIT 1 [] []
[2018-02-01 09:39:14] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.entity_id='0' AND route.type='category' LIMIT 1 [] []
[2018-02-01 09:39:14] defaultLogger.INFO: INSERT INTO route (id, entity_id, type, url) VALUES (NULL, 5, 'category', 'catalog') [] []
[2018-02-01 09:46:05] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.entity_id='5' AND route.type='category' LIMIT 1 [] []
[2018-02-01 09:46:05] defaultLogger.INFO: INSERT INTO route (id, entity_id, type, parent_url, url) VALUES (NULL, 6, 'category', 'catalog', 'betononasosy') [] []
[2018-02-01 09:46:34] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:46:34] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-02-01 09:46:34] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-02-01 09:46:34] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-02-01 09:46:34] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='newnum' LIMIT 1 [] []
[2018-02-01 09:46:35] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:46:35] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-02-01 09:46:35] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-02-01 09:46:35] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-02-01 09:46:35] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='newnum' LIMIT 1 [] []
[2018-02-01 09:46:37] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='catalog' LIMIT 1 [] []
[2018-02-01 09:46:37] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.entity_id='5' AND route.type='category' LIMIT 1 [] []
[2018-02-01 09:46:37] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:46:37] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='newnum' LIMIT 1 [] []
[2018-02-01 09:46:44] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:46:44] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-02-01 09:46:44] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-02-01 09:46:44] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-02-01 09:46:44] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='newnum' LIMIT 1 [] []
[2018-02-01 09:53:19] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:53:19] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-02-01 09:53:19] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-02-01 09:53:19] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-02-01 09:53:20] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='newnum' LIMIT 1 [] []
[2018-02-01 09:53:20] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-02-01 09:53:20] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-02-01 09:53:20] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
