[2018-01-29 18:07:03] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-01-29 18:07:13] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-01-29 18:07:13] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-01-29 18:07:13] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-01-29 18:07:13] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-01-29 18:07:16] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-01-29 18:07:17] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-01-29 18:07:17] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-01-29 18:07:17] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-01-29 18:07:19] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-01-29 18:07:19] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
[2018-01-29 18:07:19] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-01-29 18:07:20] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-01-29 18:08:31] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='progress-bar.gif' LIMIT 1 [] []
[2018-01-29 18:08:31] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='img-2.jpg' LIMIT 1 [] []
[2018-01-29 18:08:31] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='de.png' LIMIT 1 [] []
[2018-01-29 18:08:31] defaultLogger.INFO: SELECT route.id, route.entity_id, route.type, route.parent_url, route.url FROM route WHERE route.url='en.png' LIMIT 1 [] []
